City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,kasane,-17.8167,25.15,21.01,74,93,1.87,BW,1698709178
211,sabha,27.0377,14.4283,21.9,26,3,4.28,LY,1698709178
212,alba,52.0324,23.1165,10.71,91,100,3.99,PL,1698709175
213,cidreira,-30.1811,-50.2056,19.34,97,100,2.45,BR,1698708875
214,markovo,57.3206,107.0881,-8.37,74,80,1.36,RU,1698709178
215,iskateley,67.6803,53.1512,-6.66,95,97,4.47,RU,1698708924
216,burang,30.25,81.1667,-1.23,62,77,1.19,CN,1698709179
217,saint albans,51.75,-0.3333,7.72,96,9,3.09,GB,1698709179
218,manismata,-2.4667,111.0333,25.45,91,86,1.19,ID,1698709179
219,fort bragg,35.139,-79.006,24.85,62,0,3.09,US,1698709179
220,kiunga,-6.1219,141.2906,28.22,73,99,1.77,PG,1698709179
221,nirmali,26.3167,86.5833,21.36,76,89,0.85,IN,1698709179
222,pakokku,21.3333,95.1,22.78,78,17,2.97,MM,1698709179
223,moab,38.5733,-109.5498,9.03,26,0,1.66,US,1698709180
224,marquette,46.5333,-87.6335,-1.31,61,96,1.34,US,1698709180
225,quellon,-43.1167,-73.6167,3.59,80,21,0.94,CL,1698708907
226,port macquarie,-31.4333,152.9167,33.01,20,57,1.79,AU,1698708678
227,lubang,13.8584,120.124,28.03,75,88,9.08,PH,1698709180
228,kaduna,10.5222,7.4383,25.42,32,78,1.17,NG,1698708974
229,askale,39.9208,40.695,9.64,61,97,2.64,TR,1698709180
230,nema,57.5067,50.5011,-3.01,96,100,3.19,RU,1698709180
231,boende,-0.2167,20.8667,24.34,83,82,0.43,CD,1698709180
232,guichon,-32.35,-57.2,15.52,76,88,6.71,UY,1698709181
233,shingu,33.7333,135.9833,19.45,56,12,0.13,JP,1698709181
234,ekangala,-25.6962,28.7492,7.94,75,100,5.46,ZA,1698709181
235,pokrovskoye,47.4157,38.8971,11.74,70,81,2.44,RU,1698709181
236,masina,-4.3836,15.3914,22.16,94,75,4.12,CD,1698709181
237,kembe,4.6228,21.8865,20.79,87,79,0.89,CF,1698709181
238,el bayadh,33.6832,1.0193,14.53,60,72,2.95,DZ,1698709181
239,kasba tadla,32.5977,-6.2684,19.89,57,92,0.85,MA,1698709181
240,pocone,-16.2567,-56.6228,26.35,77,54,4.13,BR,1698709181
241,nuku'alofa,-21.1333,-175.2,28.19,74,75,7.2,TO,1698709182
242,viedma,-40.8135,-62.9967,6.66,68,2,3.59,AR,1698708625
243,tekeli,44.83,78.8239,12.06,49,100,3.69,KZ,1698709182
244,falam,22.9167,93.6833,13.02,93,0,0.73,MM,1698709182
245,san ignacio de velasco,-16.3667,-60.95,30.01,43,47,3.39,BO,1698709162
246,okhotsk,59.3833,143.3,-4.42,85,100,2.09,RU,1698708926
247,puerto cabezas,14.0351,-83.3888,28.98,89,75,2.06,NI,1698708930
248,onguday,50.75,86.15,5.47,93,100,0.84,RU,1698709182
249,susuman,62.7833,148.1667,-16.68,97,28,0.45,RU,1698708883
250,mabaruma,8.2,-59.7833,24.74,94,37,1.9,GY,1698708948
251,zaragoza,41.6561,-0.8773,14.33,52,0,8.75,ES,1698709072
252,sanctuary point,-35.1114,150.629,24.07,25,0,5.11,AU,1698709183
253,fenoarivo be,-18.4333,46.5667,20.91,75,67,0.8,MG,1698709183
254,ulladulla,-35.35,150.4667,20.43,15,0,5.19,AU,1698708877
255,cangzhou,38.3167,116.8667,16.21,55,0,2.12,CN,1698709183
256,lakatoro,-16.0999,167.4164,27.12,78,46,5.91,VU,1698709054
257,ishigaki,24.3448,124.1572,25.07,73,75,6.69,JP,1698709183
258,nuuk,64.1835,-51.7216,9.34,29,100,9.77,GL,1698708933
259,chui,-33.6971,-53.4616,14.42,94,100,8.35,UY,1698709052
260,takeo,10.9167,104.8333,26.55,85,99,1.57,KH,1698709183
261,zheleznogorsk,52.331,35.3711,9.07,89,68,3.85,RU,1698709183
262,anadyr,64.75,177.4833,1.28,100,75,3.0,RU,1698708904
263,pangody,65.85,74.4859,-14.93,96,22,2.84,RU,1698708886
264,acapulco de juarez,16.8634,-99.8901,26.45,90,51,1.22,MX,1698709184
265,dera bugti,29.0307,69.151,21.37,36,0,0.58,PK,1698709184
266,sechura,-5.5569,-80.8222,21.79,74,57,8.47,PE,1698708915
267,ezhva,61.8128,50.7283,-3.12,86,75,1.0,RU,1698709184
268,patterson,37.4716,-121.1297,23.32,30,1,1.63,US,1698709184
269,atherton,53.5237,-2.4935,9.05,92,100,0.89,GB,1698709184
270,leer,53.2316,7.461,11.11,95,100,2.45,DE,1698709184
271,hotan,37.0997,79.9269,13.38,18,0,1.94,CN,1698708941
272,andzhiyevskiy,44.23,43.08,14.08,93,3,2.0,RU,1698709185
273,chumphon,10.3333,98.8333,23.12,95,95,0.94,TH,1698709185
274,flying fish cove,-10.4217,105.6791,25.82,88,75,4.63,CX,1698708893
275,lorengau,-2.0226,147.2712,27.85,74,64,3.19,PG,1698709185
276,ergani,38.2653,39.7621,18.23,42,100,1.6,TR,1698709185
277,martapura,-3.4167,114.85,26.05,89,45,0.0,ID,1698709185
278,masterton,-40.9597,175.6575,16.05,92,100,3.36,NZ,1698708968
279,malanje,-9.5402,16.341,18.45,98,100,1.14,AO,1698709185
280,buka,40.8108,69.1986,15.62,64,100,3.38,UZ,1698709186
281,huamachuco,-7.8,-78.0667,12.68,78,100,2.03,PE,1698709186
282,khandyga,62.6667,135.6,-9.62,95,100,1.84,RU,1698708819
283,utrik,11.2278,169.8474,28.21,79,74,8.04,MH,1698708824
284,trincomalee,8.5711,81.2335,26.94,77,95,2.37,LK,1698709186
285,bejaia,36.7559,5.0843,18.6,82,40,0.0,DZ,1698709186
286,parham,17.0968,-61.7705,27.83,74,40,2.06,AG,1698709186
287,holualoa,19.6228,-155.9522,28.26,73,20,5.66,US,1698708936
288,el calafate,-50.3408,-72.2768,4.84,54,6,0.62,AR,1698709187
289,port lavaca,28.615,-96.6261,9.03,79,100,7.72,US,1698709187
290,hun,29.1268,15.9477,21.88,39,99,2.46,LY,1698709187
291,lewiston orchards,46.3804,-116.9754,11.95,51,0,3.09,US,1698709187
292,gurgaon,28.4667,77.0333,21.02,88,69,0.0,IN,1698709187
293,hamilton,39.1834,-84.5333,6.0,86,40,2.57,US,1698708632
294,georgetown,5.4112,100.3354,26.96,92,20,2.24,MY,1698708805
295,rincon,32.296,-81.2354,22.98,57,2,1.1,US,1698709093
296,taoudenni,22.6783,-3.9836,31.01,10,38,4.41,ML,1698708946
